"cr2sub_id","dga_well_code","dga_well_name","dga_well_basin","dga_well_subbasin","dga_well_lat","dga_well_lon","dga_well_utm_north","dga_well_utm_east","dga_well_elev","cr2sub_lat","cr2sub_lon","cr2sub_utm_north_h19","cr2sub_utm_east_h19","cr2sub_elev","cr2sub_slp","cr2sub_mean_gwl","cr2sub_sd_gwl","cr2sub_cv_gwl","cr2sub_clean_mean_gwl","cr2sub_clean_sd_gwl","cr2sub_clean_cv_gwl","cr2sub_in_basin_camels","cr2sub_camels_pr_yr","cr2sub_camels_pet_yr","cr2sub_camels_aridity","cr2sub_camels_sf","cr2sub_camels_elev","cr2sub_camels_slp","cr2sub_in_basin_bna","cr2sub_bna_pr_yr","cr2sub_bna_pet_yr","cr2sub_bna_aridity","cr2sub_bna_sf","cr2sub_bna_elev","cr2sub_bna_slp","cr2sub_clsoilmap_awc_0_100cm","cr2sub_clsoilmap_awc_100_200cm","cr2sub_clsoilmap_bulkd_0_100cm","cr2sub_clsoilmap_bulkd_100_200cm","cr2sub_clsoilmap_clay_0_100cm","cr2sub_clsoilmap_clay_100_200cm","cr2sub_clsoilmap_ksat_0_100cm","cr2sub_clsoilmap_ksat_100_200cm","cr2sub_clsoilmap_sand_0_100cm","cr2sub_clsoilmap_sand_100_200cm"
3430014,"03430014-3","LAUTARO EMBALSE","RIO COPIAPO","Rio Copiapo Medio (entre R. Jorquera Q. Paipote)",-27.978611,-70.001389,6904769,401526,1119,-27.978611,-70.001389,6904769,401526,1121.31,6.45,-1.63,2.67,-1.64,NA,NA,NA,"3430001",161.98,1947.49,12.02,0.61,3627.96,21.02,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,141.963,125.618,1.552,1.648,27.552,28.584,5.967,3.624,29.768,30.07
3701004,"03701004-9","MILLA NUEVE","Q.CARRIZAL Y COSTERAS HASTA R.HUASCO","Quebradas Carrizal y Carrizalillo",-28.098611,-70.780278,6890603,325089,327,-28.098611,-70.780278,6890603,325089,327.13,0.6,-7.83,1.54,-0.2,-7.78,1.29,-0.17,NA,NA,NA,NA,NA,NA,NA,"37",50.06,1670.92,33.38,0.02,526.44,10.69,116.443,108.439,1.574,1.651,12.976,10.705,22.691,18.001,59.743,60.521
3451021,"03451021-0","MONTE AMARGO (2)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.355,-70.723333,6973067,329532,133,-27.355,-70.723333,6973067,329532,127.79,2.26,-7.85,1.21,-0.15,-7.86,1.2,-0.15,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,124.206,123.303,1.535,1.556,15.737,24.378,20.519,14.534,57.758,58.713
3451012,"03451012-1","NORIA SANTELICES","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.3075,-70.483889,6978644,353177,265,-27.3075,-70.483889,6978644,353177,260.18,0.58,-4.2,2.23,-0.53,-4.15,2.19,-0.53,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,147.505,152,1.406,1.364,25.009,25.634,19.264,24.304,48.443,49.708
3826009,"03826009-K","OLIVARERA HUASCO","RIO HUASCO","Rio Huasco",-28.4625,-71.175,6849590,287031,0,-28.4625,-71.175,6849590,287031,23.14,6.73,-7.72,2.39,-0.31,NA,NA,NA,"3826001",160.84,1959.26,12.18,0.52,2742.38,22.3,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,124.29,127.573,1.564,1.551,17.577,19.227,15.122,13.749,54.565,53.036
3826010,"03826010-3","OLIVARERA HUASCO (D - 13)","RIO HUASCO","Rio Huasco",-28.4625,-71.192778,6849597,285300,7,-28.4625,-71.192778,6849597,285300,11.63,2.56,-0.26,0.27,-1.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38",161.04,1951.14,12.12,0.52,2723.21,22.22,126.988,130.602,1.521,1.498,20.327,21.945,18.464,18.788,57.868,56.637
3451011,"03451011-3","PIEDRA COLGADA (13)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.296667,-70.484167,6979847,353129,271,-27.296667,-70.484167,6979847,353129,263.74,0.34,-3.36,0.81,-0.24,-3.33,0.8,-0.24,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,151.996,158.203,1.384,1.3,24.381,30.461,20.671,28.961,46.993,48.612
3940007,"03940007-3","PIQUE ALGARROBAL","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",-28.947778,-70.833611,6796413,321310,897,-28.947778,-70.833611,6796413,321310,898.83,9.84,-5.68,2.41,-0.42,-5.51,2.14,-0.39,NA,NA,NA,NA,NA,NA,NA,"39",75.88,1824.77,24.05,0.08,875.26,13.61,101.265,93.643,1.541,1.706,9.069,11.609,49.748,21.388,70.599,71.262
3450017,"03450017-7","PLANTA CASTELLON","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.453889,-70.325,6962550,369059,419,-27.453889,-70.325,6962550,369059,633.61,4.65,-13.73,2.11,-0.15,-13.75,2.13,-0.15,"3450001",114.42,2325.2,20.32,0.49,2893.49,18.6,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,104.288,98.494,1.555,1.618,10.28,9.912,38.81,31.659,68.892,69.785
3450007,"03450007-K","PLAZUELA SIERRA ALTA","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.4,-70.302778,6968543,371193,405,-27.4,-70.302778,6968543,371193,419.82,0.41,-15.13,4.41,-0.29,-15.07,4.44,-0.29,"3450001",114.42,2325.2,20.32,0.49,2893.49,18.6,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,153.77,157.162,1.412,1.373,25.735,28.164,14.571,17.841,40.216,40.628
3940005,"03940005-7","PUEBLO DOMEYKO","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",-28.955833,-70.89,6795436,315824,785,-28.955833,-70.89,6795436,315824,776.29,1.27,-43.98,6.87,-0.16,-44.26,6,-0.14,NA,NA,NA,NA,NA,NA,NA,"39",75.88,1824.77,24.05,0.08,875.26,13.61,103.744,96.455,1.553,1.668,9.514,9.931,40.851,25.646,68.778,69.273
3451020,"03451020-2","PUNTA PICAZO (5)","RIO COPIAPO","Rio Copiapo Bajo (Entre Q. Paipote y Desemb.)",-27.355833,-70.694444,6972998,332401,150,-27.355833,-70.694444,6972998,332401,150.29,0.25,-9.47,0.57,-0.06,-9.5,0.49,-0.05,"3453001",107.54,2303.49,21.42,0.48,2714.83,17.94,"34",107.1,2293.59,21.42,0.48,2690.11,17.88,126.827,122.88,1.545,1.571,19.55,27.12,14.907,11.208,54.306,55.098
3940002,"03940002-2","QUEBRADA ALGARROBAL","COSTERAS E ISLAS R.HUASCO-CUARTA REGION","Quebrada Chanaral",-28.927778,-70.806944,6798626,323858,0,-28.927778,-70.806944,6798626,323858,951.91,1.11,-9.22,1.44,-0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"39",75.88,1824.77,24.05,0.08,875.26,13.61,98.077,91.461,1.587,1.7,9.045,8.861,40.299,24.955,70.392,70.775
